TokenID,Character,Earrings,Eyes,Hat,Mouth,Neck,Nose,Whiskers
302,Stuart,None,Crosseyed,No Hat,Straight,Plain,Normal,Whiskers
303,Simon,None,Looking Left,No Hat,Big Smile,Plain,No Nose,No Whiskers
304,Jerry,None,Looking Left,No Hat,Small Frown,Plain,No Nose,Whiskers
305,Jerry,None,Looking Left,No Hat,Smile,Black Necklace,Big,Whiskers
306,Simon,None,Crosseyed,Construction Hat,Big Smile,Plain,Dark,Tiny Whiskers
308,Templeton,None,Looking Right,Karate Kid,Smile,Plain,No Nose,Whiskers
309,Simon,None,Crosseyed,Elvis,Small Smile,Plain,Tiny,Whiskers
310,Jerry,None,Looking Left,No Hat,Straight,Plain,No Nose,Whiskers
311,Jerry,None,Crosseyed,No Hat,Big Frown,Fancy,Tiny,Tiny Whiskers
313,Templeton,None,Looking Right,Motorcycle Helmet,Smile,Black Necklace,Tiny,Tiny Whiskers
314,Stuart,None,Crazy,No Hat,Big Smile,Plain,Tiny,No Whiskers
315,Common,None,Looking Left,No Hat,Frown,Red Necklace,No Nose,Tiny Whiskers
316,Matthias,Jim Dangles,Looking Right,No Hat,Straight,Plain,Tiny,Whiskers
318,Stuart,None,Looking Right,Karate Kid,Frown,Plain,Dark,Whiskers
319,Matthias,None,Sunglasses,Cheese,Smile,Plain,No Nose,Tiny Whiskers
320,Jerry,None,Sunglasses,Karate Kid,Straight,Red Necklace,Normal,Big Whiskers
321,Jerry,Flower,Looking Right,No Hat,Small Smile,Black Necklace,Normal,Whiskers
322,Stuart,None,Crosseyed,No Hat,Frown,Red Necklace,Dark,No Whiskers
323,Templeton,None,Looking Right,No Hat,Big Frown,Red Necklace,Dark,Whiskers
324,Simon,None,Looking Left,Cheese,Smile,Plain,No Nose,Whiskers
325,Stuart,None,Crosseyed,No Hat,Small Frown,Plain,Tiny,Whiskers
326,Common,None,Looking Left,Halo,Small Smile,Plain,Normal,Whiskers
327,Common,None,Looking Left,Elvis,Big Smile,Plain,No Nose,Whiskers
328,Reepicheep,None,Crosseyed,Cheese,Small Smile,Red Necklace,Big,Whiskers
329,Templeton,None,Looking Left,Elvis,Small Frown,Plain,Dark,Whiskers
330,Jerry,Bar,Looking Left,Halo,Small Smile,Plain,Tiny,Big Whiskers
331,Matthias,None,Closed,Elvis,Small Smile,Red Necklace,Normal,Whiskers
335,Simon,None,Looking Right,No Hat,Smile,Plain,No Nose,Whiskers
337,Matthias,None,Looking Left,No Hat,Small Frown,Plain,No Nose,Whiskers
338,Reepicheep,None,Looking Up,Construction Hat,Straight,Black Necklace,Tiny,Big Whiskers
339,Reepicheep,Stud,Looking Right,No Hat,Big Frown,Red Necklace,Big,Tiny Whiskers
341,Matthias,None,Crosseyed,No Hat,Frown,Plain,Normal,Tiny Whiskers
342,Templeton,Flower,Looking Up,Halo,Small Smile,Gold Chain,Big,Tiny Whiskers
344,Jerry,None,Closed,No Hat,Small Frown,Plain,Normal,Tiny Whiskers
345,Common,None,Crosseyed,No Hat,Frown,Plain,Tiny,Tiny Whiskers
346,Simon,None,Sunglasses,No Hat,Frown,Plain,No Nose,Big Whiskers
347,Common,None,Bandit Mask,Construction Hat,Frown,Plain,No Nose,Whiskers
348,Alvin,None,Looking Right,Soldier,Big Smile,Black Necklace,No Nose,Whiskers
349,Common,None,Looking Left,Elvis,Straight,Plain,Dark,Whiskers
351,Reepicheep,None,Looking Up,Karate Kid,Small Smile,Plain,Normal,Whiskers
352,Stuart,None,Looking Up,Elvis,Small Frown,Plain,Tiny,Tiny Whiskers
353,Matthias,None,Crazy,Construction Hat,Big Smile,Plain,Tiny,Whiskers
354,Common,None,Looking Left,Halo,Big Smile,Plain,No Nose,Tiny Whiskers
355,Reepicheep,None,Sunglasses,Cheese,Small Smile,Black Necklace,No Nose,No Whiskers
359,Stuart,None,Looking Up,Motorcycle Helmet,Small Smile,Plain,Normal,Whiskers
360,Jerry,None,Crosseyed,No Hat,Small Smile,Plain,Normal,Tiny Whiskers
361,Stuart,None,Looking Up,No Hat,Frown,Black Necklace,Big,Whiskers
362,Jerry,None,Looking Up,Construction Hat,Smile,Plain,Normal,Whiskers
363,Templeton,None,3D Glasses,Construction Hat,Frown,Plain,Normal,Tiny Whiskers
364,Templeton,None,Sunglasses,Elvis,Small Smile,Plain,Dark,Whiskers
365,Common,None,Looking Right,No Hat,Big Frown,Plain,No Nose,Whiskers
367,Stuart,None,Closed,Construction Hat,Big Frown,Plain,Tiny,Tiny Whiskers
368,Reepicheep,None,Crazy,No Hat,Small Smile,Plain,No Nose,No Whiskers
369,Common,None,Crosseyed,No Hat,Small Frown,Plain,Tiny,Tiny Whiskers
370,Alvin,None,Looking Right,Motorcycle Helmet,Smile,Plain,Dark,No Whiskers
372,Jerry,None,Crosseyed,Soldier,Big Smile,Plain,Big,Tiny Whiskers
374,Stuart,None,Looking Left,Construction Hat,Frown,Plain,Normal,Tiny Whiskers
375,Stuart,None,Looking Left,No Hat,Big Frown,Plain,Big,Big Whiskers
376,Templeton,Flower,Looking Left,Karate Kid,Frown,Red Necklace,Tiny,Whiskers
377,Simon,None,Closed,Karate Kid,Small Frown,Plain,Normal,Whiskers
378,Reepicheep,None,Bandit Mask,Construction Hat,Big Frown,Black Necklace,No Nose,Big Whiskers
379,Common,None,Looking Right,No Hat,Small Smile,Plain,No Nose,Tiny Whiskers
380,Reepicheep,None,Crosseyed,No Hat,Smile,Plain,No Nose,Whiskers
382,Templeton,None,Bandit Mask,Elvis,Smile,Black Necklace,Tiny,Tiny Whiskers
383,Jerry,None,Looking Left,No Hat,Small Frown,Plain,Dark,Whiskers
384,Simon,None,Crosseyed,No Hat,Small Smile,Black Necklace,Normal,Big Whiskers
385,Templeton,None,Looking Up,Construction Hat,Frown,Plain,Big,Whiskers
386,Common,None,Crazy,No Hat,Frown,Red Necklace,No Nose,Tiny Whiskers
387,Jerry,None,Crazy,No Hat,Big Smile,Plain,Tiny,Whiskers
392,Jerry,None,Bandit Mask,Karate Kid,Big Frown,Plain,No Nose,Handlebar
396,Stuart,None,Looking Right,Soldier,Small Smile,Plain,No Nose,Whiskers
399,Jerry,None,Looking Right,Construction Hat,Small Smile,Plain,Big,Whiskers
402,Jerry,None,Looking Right,No Hat,Smile,Black Necklace,Big,Whiskers
403,Jerry,None,Looking Up,Cheese,Small Smile,Plain,Dark,Tiny Whiskers
406,Jerry,None,Bandit Mask,Halo,Big Smile,Plain,Big,Tiny Whiskers
407,Common,None,Looking Up,No Hat,Big Smile,Red Necklace,Dark,Whiskers
408,Alvin,None,Looking Left,No Hat,Frown,Plain,Big,Whiskers
409,Matthias,None,Bandit Mask,No Hat,Small Smile,Red Necklace,Dark,Whiskers
410,Alvin,None,Crosseyed,Karate Kid,Frown,Black Necklace,Normal,Whiskers
412,Jerry,None,Crosseyed,No Hat,Small Frown,Plain,Dark,Whiskers
413,Stuart,None,Closed,No Hat,Small Smile,Plain,Big,Tiny Whiskers
414,Stuart,None,Looking Right,No Hat,Big Frown,Red Necklace,No Nose,Whiskers
415,Common,Flower,Bandit Mask,No Hat,Big Frown,Plain,Normal,Whiskers
417,Reepicheep,None,Looking Left,Halo,Frown,Plain,Normal,Whiskers
418,Common,None,Looking Right,Motorcycle Helmet,Big Smile,Fancy,Tiny,Whiskers
419,Common,None,Looking Up,No Hat,Big Smile,Red Necklace,Dark,Tiny Whiskers
420,Common,None,Looking Right,Construction Hat,Straight,Gold Chain,Tiny,Tiny Whiskers
421,Alvin,None,Looking Left,Halo,Smile,Plain,Big,Tiny Whiskers
422,Stuart,None,Looking Left,No Hat,Big Smile,Fancy,Tiny,Whiskers
424,Templeton,Flower,Bandit Mask,Karate Kid,Big Smile,Plain,Tiny,Whiskers
